tag,fl_qat,distillation,pruning,ptq,fl_acc,fl_f1,fl_prec,fl_rec,fl_size_kb,dist_acc,dist_f1,prune_acc,prune_f1,final_acc,final_f1,final_prec,final_rec,tflite_size_kb,final_size_kb
no_qat__distill_none__prune_10x2__ptq_no,False,none,prune_10x2,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,,,0.9770651428912001,0.9381299301612822,0.9770651428912001,0.9381299301612822,,,549.86328125,1734.01171875
no_qat__distill_none__prune_10x5__ptq_no,False,none,prune_10x5,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,,,0.968862681407754,0.9124904471268098,0.968862681407754,0.9124904471268098,,,314.73828125,1022.078125
no_qat__distill_none__prune_none__ptq_no,False,none,prune_none,False,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,,,,,0.9383213636499091,0.8503353399497441,,,802.44921875,864.109375
yes_qat__distill_none__prune_10x5__ptq_no,True,none,prune_10x5,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,,,0.9282973746163244,0.8298491103077019,0.9282973746163244,0.8298491103077019,,,314.7421875,1022.078125
yes_qat__distill_none__prune_5x10__ptq_no,True,none,prune_5x10,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,,,0.9227135917990286,0.8190823320137424,0.9227135917990286,0.8190823320137424,,,317.7265625,1029.34375
no_qat__distill_none__prune_10x2__ptq_yes,False,none,prune_10x2,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,,,0.9893204100485741,0.9703341162836419,0.9390812647137706,0.7942582528180353,0.9781847479160857,0.6685515809983692,150.296875,1734.01171875
yes_qat__distill_none__prune_10x2__ptq_no,True,none,prune_10x2,False,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,,,0.9062788687904163,0.7888517766327062,0.9062788687904163,0.7888517766327062,,,549.8671875,1734.01171875
no_qat__distill_none__prune_5x10__ptq_yes,False,none,prune_5x10,True,0.9383213636499091,0.8503353399497441,0.7417254048598956,0.9962089925238791,864.109375,,,0.9849062788687905,0.9586040619508807,0.9302530023542033,0.7716752432748823,0.9095116272384949,0.6701188131393354,89.2578125,1029.34375
yes_qat__distill_none__prune_5x10__ptq_yes,True,none,prune_5x10,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,,,0.9074783204696486,0.7908555069046818,0.8898962958548142,0.736376447084426,0.6360372852630768,0.8743037465319694,89.2578125,1029.34375
yes_qat__distill_none__prune_10x2__ptq_yes,True,none,prune_10x2,True,0.846421759990464,0.3271041765272315,0.7130354347516721,0.2122328822246225,864.109375,,,0.8827033107846352,0.7491735767597837,0.8398508507911912,0.6827482898824502,0.5239184597961495,0.97977423385645,150.296875,1734.01171875
