round,accuracy,accuracy_pct,loss,precision,precision_pct,recall,recall_pct,f1_score,f1_pct,client_0_accuracy,client_0_accuracy_pct,client_1_accuracy,client_1_accuracy_pct,client_2_accuracy,client_2_accuracy_pct,client_3_accuracy,client_3_accuracy_pct,total_samples,actual_attack,actual_normal,predicted_attack,predicted_normal,true_positives,true_negatives,false_positives,false_negatives
11,0.9046835154294968,90.47,1.0043973922729492,0.8441427044847271,84.41,0.5618010843781769,56.18,0.6746181453633752,67.46,0.9046086668968201,90.46,0.9046086668968201,90.46,0.9046086668968201,90.46,0.9049080610275269,90.49,67113,11804,55309,7878,59235,6640,54071,1238,5164
12,0.9095521569252014,90.96,1.0254101157188416,0.9179437460711691,91.79,0.5334420535411726,53.34,0.6747571869218308,67.48,0.9094512462615967,90.95,0.9094512462615967,90.95,0.9094512462615967,90.95,0.9098548889160156,90.99,67113,11804,55309,6881,60232,6304,54732,577,5500
13,0.9065572172403336,90.66,1.0612820982933044,0.9151235908213506,91.51,0.5166468993561505,51.66,0.6604302338365307,66.04,0.9064860939979553,90.65,0.9067705869674683,90.68,0.9064860939979553,90.65,0.9064860939979553,90.65,67113,11804,55309,6686,60427,6107,54730,579,5697
14,0.8754828423261642,87.55,1.4403372406959534,0.8811466511128898,88.11,0.3375762453405625,33.76,0.4881407447041548,48.81,0.875106155872345,87.51,0.875106155872345,87.51,0.875106155872345,87.51,0.8766129016876221,87.66,67113,11804,55309,4524,62589,3973,54758,551,7831
15,0.8742572963237762,87.43,1.4563595652580261,0.8806476077633261,88.06,0.32976109793290403,32.98,0.47984304568882,47.98,0.8738694190979004,87.39,0.8754209280014038,87.54,0.8738694190979004,87.39,0.8738694190979004,87.39,67113,11804,55309,4415,62698,3877,54771,538,7927
16,0.8730839341878891,87.31,1.4727473855018616,0.8816814489106206,88.17,0.3215435445611657,32.15,0.47122942771623194,47.12,0.8726625442504883,87.27,0.8726625442504883,87.27,0.8743481040000916,87.43,0.8726625442504883,87.27,67113,11804,55309,4292,62821,3775,54792,517,8029
17,0.871012806892395,87.10,1.4927736818790436,0.8703546598404919,87.04,0.3132836326668926,31.33,0.4607263031631618,46.07,0.870591402053833,87.06,0.870591402053833,87.06,0.872277021408081,87.23,0.870591402053833,87.06,67113,11804,55309,4237,62876,3678,54750,559,8126
18,0.8705248087644577,87.05,1.49837064743042,0.8689169000933707,86.89,0.31072094205354117,31.07,0.45774521840698457,45.77,0.8701890707015991,87.02,0.8701890707015991,87.02,0.8715320229530334,87.15,0.8701890707015991,87.02,67113,11804,55309,4200,62913,3646,54755,554,8158
19,0.8627394735813141,86.27,1.5727439522743225,0.8219828836053105,82.20,0.28030752287360217,28.03,0.418036799863673,41.80,0.862589955329895,86.26,0.862589955329895,86.26,0.8631880283355713,86.32,0.862589955329895,86.26,67113,11804,55309,3992,63121,3287,54604,705,8517
20,0.8586530834436417,85.87,1.6088313162326813,0.7918001615112277,79.18,0.26641392748220943,26.64,0.39867072408980947,39.87,0.858492374420166,85.85,0.8591352105140686,85.91,0.858492374420166,85.85,0.858492374420166,85.85,67113,11804,55309,3941,63172,3124,54492,817,8680
21,0.8564329892396927,85.64,1.6242294311523438,0.7702967017258348,77.03,0.2618180277871908,26.18,0.39078848861882987,39.08,0.8563020825386047,85.63,0.8563020825386047,85.63,0.8568257093429565,85.68,0.8563020825386047,85.63,67113,11804,55309,3978,63135,3069,54400,909,8735
22,0.8539446294307709,85.39,1.6487858295440674,0.7542910703084906,75.43,0.25154608607251777,25.15,0.3772573928798796,37.73,0.853888213634491,85.39,0.8541138768196106,85.41,0.853888213634491,85.39,0.853888213634491,85.39,67113,11804,55309,3900,63213,2949,54358,951,8855
23,0.8241181969642639,82.41,nan,0.0,0.00,0.0,0.00,0.0,0.00,0.8241201639175415,82.41,0.8241175413131714,82.41,0.8241175413131714,82.41,0.8241175413131714,82.41,67114,11804,55310,0,67114,0,55310,0,11804
24,0.8241181969642639,82.41,nan,0.0,0.00,0.0,0.00,0.0,0.00,0.8241175413131714,82.41,0.8241175413131714,82.41,0.8241201639175415,82.41,0.8241175413131714,82.41,67113,11804,55309,0,67113,0,55309,0,11804
